codigo,transecto,arv,nome.comum,nome.cient,familia,dap,tipo,pos.copa,luminosidade,morta,decomp,Hcom,Htot,raio.n,raio.s,raio.l,raio.o,data,utm.lest,utm.norte,vol,parc.area
CAU_A01,T01,2,macucu,Licania guianensis,Chrysobalanaceae,10.3,O,S,2,FALSE,NA,4.59,7.83,2,1.8,1.3,0,20120127,778459.6729,9586871.539,0.24023194,10000
CAU_A01,T01,5,casca seca,Licania canescens,Chrysobalanaceae,14.6,O,S,2,FALSE,NA,9.16,10.27,1,1,1,1,20120127,778444.1712,9586870.399,0.392912133,10000
CAU_A01,T01,6,cajuacu,Anacardium spruceanum,Anacardiaceae,78.8,O,E,1,FALSE,NA,21.06,31.65,6.6,4.8,5.5,5.5,20120127,778443.5294,9586872.461,2.048092675,10000
CAU_A01,T01,7,breu branco,Protium paniculatum,Burseraceae,14.7,O,S,2,FALSE,NA,7.35,11.54,2.4,3.9,5.5,2.3,20120127,778443.2246,9586869.534,0.37073915,10000
CAU_A01,T01,9,breu branco,Protium paniculatum,Burseraceae,10.6,O,E,3,FALSE,NA,4.9,6.91,2,2,3,2.1,20120127,778436.1941,9586869.46,0.250774146,10000
CAU_A01,T01,10,caramuxi,Pouteria hispida,Sapotaceae,27.1,O,C,2,FALSE,NA,13.53,19.83,0,3,3.7,2.8,20120127,778433.713,9586868.991,0.73793106,10000
CAU_A01,T01,12,casca seca,Licania canescens,Chrysobalanaceae,15.1,O,E,2,FALSE,NA,7.44,12.09,1.9,2.8,2.1,2,20120127,778427.1563,9586869.342,0.380496324,10000
CAU_A01,T01,13,jatereu,Lecythis idatimon,Lecythidaceae,16.5,O,S,2,FALSE,NA,7.61,11.46,2.3,1.4,0,3.2,20120127,778423.2009,9586868.382,0.412472635,10000
CAU_A01,T01,14,jatereu,Lecythis idatimon,Lecythidaceae,12,O,S,1,FALSE,NA,8.41,12.26,1.1,1,1,1,20120127,778417.1911,9586868.076,0.325326899,10000
CAU_A01,T01,15,parajuba,Manilkara bidentata,Sapotaceae,38.4,O,C,2,FALSE,NA,31.19,32.29,4,2.3,2.5,3.1,20120127,778412.709,9586867.472,1.258063962,10000
CAU_A01,T01,16,guajara branco,Pouteria sp.,Sapotaceae,48.5,O,C,2,FALSE,NA,20.84,31.1,0,5.4,2.3,3,20120127,778413.8796,9586872.463,1.360692796,10000
CAU_A01,T01,17,seringueira,Hevea brasiliensis,Euphorbiaceae,50.3,O,E,1,FALSE,NA,24.5,33.43,4.5,4.3,3.9,5.8,20120127,778412.6282,9586868.67,1.470136368,10000
