"codigo","transecto","arv","nome.comum","nome.cient","familia","DAP","HT","tipo","pos.copa","luminosidade","morta","decomp","raio.n","raio.s","raio.l","raio.o","data","utm.lest","utm.norte","vol","parc.area","area.total"
"CAU_A01","T13",4,"arataciu","Sagotia racemosa","Euphorbiaceae",10.5,23.28,"O","S",2,FALSE,NA,1.6,2.2,2.4,2.3,20120326,779067.2627,9586258.829,0.390809008,10000,50
"CAU_A01","T13",4,"arataciu","Sagotia racemosa","Euphorbiaceae",10.5,23.28,"O","S",2,FALSE,NA,1.6,2.2,2.4,2.3,20120326,779067.2627,9586258.829,0.390809008,10000,50
"CAU_A01","T13",4,"arataciu","Sagotia racemosa","Euphorbiaceae",10.5,23.28,"O","S",2,FALSE,NA,1.6,2.2,2.4,2.3,20120326,779067.2627,9586258.829,0.390809008,10000,50
"CAU_A01","T13",4,"arataciu","Sagotia racemosa","Euphorbiaceae",10.5,23.28,"O","S",2,FALSE,NA,1.6,2.2,2.4,2.3,20120326,779067.2627,9586258.829,0.390809008,10000,50
"CAU_A01","T13",4,"arataciu","Sagotia racemosa","Euphorbiaceae",10.5,23.28,"O","S",2,FALSE,NA,1.6,2.2,2.4,2.3,20120326,779067.2627,9586258.829,0.390809008,10000,50
"CAU_A01","T13",4,"arataciu","Sagotia racemosa","Euphorbiaceae",10.5,23.28,"O","S",2,FALSE,NA,1.6,2.2,2.4,2.3,20120326,779067.2627,9586258.829,0.390809008,10000,50
"CAU_A01","T13",4,"arataciu","Sagotia racemosa","Euphorbiaceae",10.5,23.28,"O","S",2,FALSE,NA,1.6,2.2,2.4,2.3,20120326,779067.2627,9586258.829,0.390809008,10000,50
"CAU_A01","T13",4,"arataciu","Sagotia racemosa","Euphorbiaceae",10.5,23.28,"O","S",2,FALSE,NA,1.6,2.2,2.4,2.3,20120326,779067.2627,9586258.829,0.390809008,10000,50
"CAU_A01","T13",4,"arataciu","Sagotia racemosa","Euphorbiaceae",10.5,23.28,"O","S",2,FALSE,NA,1.6,2.2,2.4,2.3,20120326,779067.2627,9586258.829,0.390809008,10000,50
"CAU_A01","T13",4,"arataciu","Sagotia racemosa","Euphorbiaceae",10.5,23.28,"O","S",2,FALSE,NA,1.6,2.2,2.4,2.3,20120326,779067.2627,9586258.829,0.390809008,10000,50
"CAU_A01","T08",41,"capueiro","Rinorea guianensis","Violaceae",12.5,24.19,"O","S",1,FALSE,NA,1.3,3.6,3.2,3.4,20120206,779532.7292,9584950.065,0.457205648,10000,50
"CAU_A01","T08",41,"capueiro","Rinorea guianensis","Violaceae",12.5,24.19,"O","S",1,FALSE,NA,1.3,3.6,3.2,3.4,20120206,779532.7292,9584950.065,0.457205648,10000,50
"CAU_A01","T08",41,"capueiro","Rinorea guianensis","Violaceae",12.5,24.19,"O","S",1,FALSE,NA,1.3,3.6,3.2,3.4,20120206,779532.7292,9584950.065,0.457205648,10000,50
"CAU_A01","T08",41,"capueiro","Rinorea guianensis","Violaceae",12.5,24.19,"O","S",1,FALSE,NA,1.3,3.6,3.2,3.4,20120206,779532.7292,9584950.065,0.457205648,10000,50
"CAU_A01","T08",41,"capueiro","Rinorea guianensis","Violaceae",12.5,24.19,"O","S",1,FALSE,NA,1.3,3.6,3.2,3.4,20120206,779532.7292,9584950.065,0.457205648,10000,50
"CAU_A01","T08",41,"capueiro","Rinorea guianensis","Violaceae",12.5,24.19,"O","S",1,FALSE,NA,1.3,3.6,3.2,3.4,20120206,779532.7292,9584950.065,0.457205648,10000,50
"CAU_A01","T08",41,"capueiro","Rinorea guianensis","Violaceae",12.5,24.19,"O","S",1,FALSE,NA,1.3,3.6,3.2,3.4,20120206,779532.7292,9584950.065,0.457205648,10000,50
"CAU_A01","T08",41,"capueiro","Rinorea guianensis","Violaceae",12.5,24.19,"O","S",1,FALSE,NA,1.3,3.6,3.2,3.4,20120206,779532.7292,9584950.065,0.457205648,10000,50
"CAU_A01","T08",41,"capueiro","Rinorea guianensis","Violaceae",12.5,24.19,"O","S",1,FALSE,NA,1.3,3.6,3.2,3.4,20120206,779532.7292,9584950.065,0.457205648,10000,50
"CAU_A01","T08",41,"capueiro","Rinorea guianensis","Violaceae",12.5,24.19,"O","S",1,FALSE,NA,1.3,3.6,3.2,3.4,20120206,779532.7292,9584950.065,0.457205648,10000,50
"CAU_A01","T14",112,"abiurana","Pouteria gongrijpii","Sapotaceae",13.3,25.73,"O","S",1,FALSE,NA,1.5,0.9,1.9,0.8,20120310,779637.035,9586705.52,0.490240154,10000,50
"CAU_A01","T14",112,"abiurana","Pouteria gongrijpii","Sapotaceae",13.3,25.73,"O","S",1,FALSE,NA,1.5,0.9,1.9,0.8,20120310,779637.035,9586705.52,0.490240154,10000,50
"CAU_A01","T14",112,"abiurana","Pouteria gongrijpii","Sapotaceae",13.3,25.73,"O","S",1,FALSE,NA,1.5,0.9,1.9,0.8,20120310,779637.035,9586705.52,0.490240154,10000,50
"CAU_A01","T14",112,"abiurana","Pouteria gongrijpii","Sapotaceae",13.3,25.73,"O","S",1,FALSE,NA,1.5,0.9,1.9,0.8,20120310,779637.035,9586705.52,0.490240154,10000,50
"CAU_A01","T14",112,"abiurana","Pouteria gongrijpii","Sapotaceae",13.3,25.73,"O","S",1,FALSE,NA,1.5,0.9,1.9,0.8,20120310,779637.035,9586705.52,0.490240154,10000,50
"CAU_A01","T14",112,"abiurana","Pouteria gongrijpii","Sapotaceae",13.3,25.73,"O","S",1,FALSE,NA,1.5,0.9,1.9,0.8,20120310,779637.035,9586705.52,0.490240154,10000,50
"CAU_A01","T14",112,"abiurana","Pouteria gongrijpii","Sapotaceae",13.3,25.73,"O","S",1,FALSE,NA,1.5,0.9,1.9,0.8,20120310,779637.035,9586705.52,0.490240154,10000,50
"CAU_A01","T14",112,"abiurana","Pouteria gongrijpii","Sapotaceae",13.3,25.73,"O","S",1,FALSE,NA,1.5,0.9,1.9,0.8,20120310,779637.035,9586705.52,0.490240154,10000,50
"CAU_A01","T14",112,"abiurana","Pouteria gongrijpii","Sapotaceae",13.3,25.73,"O","S",1,FALSE,NA,1.5,0.9,1.9,0.8,20120310,779637.035,9586705.52,0.490240154,10000,50
"CAU_A01","T14",112,"abiurana","Pouteria gongrijpii","Sapotaceae",13.3,25.73,"O","S",1,FALSE,NA,1.5,0.9,1.9,0.8,20120310,779637.035,9586705.52,0.490240154,10000,50
"CAU_A01","T15",3,"parajuba","Manilkara bidentata","Sapotaceae",14.5,27.72,"O","S",2,FALSE,NA,1.5,2.4,1.8,2,20120324,780115.3055,9585254.873,0.538464955,10000,50
"CAU_A01","T15",3,"parajuba","Manilkara bidentata","Sapotaceae",14.5,27.72,"O","S",2,FALSE,NA,1.5,2.4,1.8,2,20120324,780115.3055,9585254.873,0.538464955,10000,50
"CAU_A01","T15",3,"parajuba","Manilkara bidentata","Sapotaceae",14.5,27.72,"O","S",2,FALSE,NA,1.5,2.4,1.8,2,20120324,780115.3055,9585254.873,0.538464955,10000,50
"CAU_A01","T15",3,"parajuba","Manilkara bidentata","Sapotaceae",14.5,27.72,"O","S",2,FALSE,NA,1.5,2.4,1.8,2,20120324,780115.3055,9585254.873,0.538464955,10000,50
"CAU_A01","T15",3,"parajuba","Manilkara bidentata","Sapotaceae",14.5,27.72,"O","S",2,FALSE,NA,1.5,2.4,1.8,2,20120324,780115.3055,9585254.873,0.538464955,10000,50
