codigo,transecto,arv,nome.comum,nome.cient,familia,dap,tipo,pos.copa,luminosidade,morta,decomp,Hcom,Htot,raio.n,raio.s,raio.l,raio.o,data,utm.lest,utm.norte,vol,trans.area,sub.area
CAU,T01,6,cajuacu,Anacardium spruceanum,Anacardiaceae,78.8,O,E,1,FALSE,NA,21.06,31.65,6.6,4.8,5.5,5.5,20120127,778443.5294,9586872.461,7.072583116,10000,100
CAU,T01,15,parajuba,Manilkara bidentata,Sapotaceae,38.4,O,C,2,FALSE,NA,31.19,32.29,4,2.3,2.5,3.1,20120127,778412.709,9586867.472,1.468104718,10000,100
CAU,T01,16,guajara branco,Pouteria sp.,Sapotaceae,48.5,O,C,2,FALSE,NA,20.84,31.1,0,5.4,2.3,3,20120127,778413.8796,9586872.463,2.446573445,10000,100
CAU,T01,17,seringueira,Hevea brasiliensis,Euphorbiaceae,50.3,O,E,1,FALSE,NA,24.5,33.43,4.5,4.3,3.9,5.8,20120127,778412.6282,9586868.67,2.649554288,10000,100
CAU,T01,18,guajara branco,Pouteria sp.,Sapotaceae,41.9,O,C,2,FALSE,NA,18.7,28.84,5.7,3,3.2,4.4,20120127,778409.7075,9586867.27,1.776694885,10000,100
CAU,T01,23,jatereu,Lecythis idatimon,Lecythidaceae,35.2,O,C,1,FALSE,NA,20.19,37.54,5.8,3.4,3.5,7.1,20120127,778313.4631,9586863.675,1.21368876,10000,100
CAU,T01,24,guajara branco,Pouteria sp.,Sapotaceae,59.3,O,C,1,FALSE,NA,10.17,24.67,6.6,0,2.3,3,20120127,778312.0297,9586862.575,3.797745294,10000,100
CAU,T01,27,abiurana,Pouteria gongrijpii,Sapotaceae,52,O,C,2,FALSE,NA,18.97,36.95,4.3,0,3.5,6.6,20120127,778258.9353,9586859.991,2.849346661,10000,100
CAU,T01,28,guajara branco,Pouteria sp.,Sapotaceae,52.2,O,C,1,FALSE,NA,24.58,33.93,4.9,5.6,3,3.5,20120127,778256.0011,9586858.791,2.87337056,10000,100
CAU,T01,29,morta,NA,NA,40.2,O,NA,NA,TRUE,4,NA,6.3,NA,NA,NA,NA,20120127,778246.9556,9586856.395,1.622819613,10000,100
CAU,T01,33,ucurana,Sloanea guianensis,Elaeocarpaceae,40.6,O,C,2,FALSE,NA,17.53,26.17,7.8,3.4,2.5,5.6,20120127,778215.7159,9586857.659,1.658345443,10000,100
CAU,T01,36,cajuacu,Anacardium spruceanum,Anacardiaceae,36.1,O,C,1,FALSE,NA,16.38,29.42,3.8,5.4,3.3,3,20120127,778197.2782,9586854.509,1.282592074,10000,100
CAU,T01,41,caramuxi,Pouteria hispida,Sapotaceae,46,O,C,2,FALSE,NA,20.35,31.98,2.8,4.3,5.1,2.6,20120127,778168.7997,9586849.971,2.179158049,10000,100
CAU,T01,47,matamata,Eschweilera parviflora,Lecythidaceae,43.5,O,C,1,FALSE,NA,22.08,34.35,5.3,3.5,3.2,2.8,20120127,778130.7604,9586852.244,1.928454627,10000,100
CAU,T01,48,abiurana,Pouteria gongrijpii,Sapotaceae,38.5,O,C,2,FALSE,NA,22.27,29.33,5,1,1.9,2.1,20120127,778129.972,9586846.127,1.476479581,10000,100
CAU,T01,53,matamata,Eschweilera amazonica,Lecythidaceae,46,O,E,1,FALSE,NA,29.3,34.83,3.4,2.9,3.3,2.9,20120127,778120.658,9586848.156,2.179158049,10000,100
CAU,T01,54,matamata,Eschweilera amazonica,Lecythidaceae,36.5,O,S,1,FALSE,NA,19.43,28.6,4.2,2.5,2.9,3.3,20120127,778112.7127,9586846.308,1.313879604,10000,100
CAU,T01,63,guajara branco,Pouteria sp.,Sapotaceae,70,O,E,1,FALSE,NA,30.63,50.97,8.3,8.8,9.5,7.3,20120127,778040.8873,9586841.713,5.458788959,10000,100
CAU,T01,74,sucupira,Diplotropis sp.,Fabaceae,40.9,O,E,2,FALSE,NA,21.18,30.19,9.7,8.8,6.4,7.9,20120127,777982.2713,9586825.444,1.685264059,10000,100
CAU,T01,78,inhare,Helicostylis sp.,Moraceae,36.4,O,S,2,FALSE,NA,18.62,25.25,2.2,1.9,2,1.3,20120127,778010.1066,9586829.4,1.306019344,10000,100
CAU,T01,80,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,44,O,S,2,FALSE,NA,2.58,4.05,1.7,1.2,6,1.9,20120127,778024.4711,9586833.939,1.977266589,10000,100
CAU,T01,84,caramuxi,Pouteria hispida,Sapotaceae,46.6,O,C,2,FALSE,NA,16.36,25.24,7.8,2.6,8.9,3.5,20120127,778041.2568,9586833.707,2.241807219,10000,100
CAU,T01,89,morta,NA,NA,35.6,O,NA,NA,TRUE,4,NA,5.61,NA,NA,NA,NA,20120127,778064.4618,9586836.167,1.244057534,10000,100
CAU,T01,92,jatereu,Lecythis idatimon,Lecythidaceae,42,O,E,1,FALSE,NA,19.95,32.47,2.3,2.9,1.5,5.8,20120127,778101.2212,9586841.772,1.785982296,10000,100
CAU,T01,108,matamata,Eschweilera parviflora,Lecythidaceae,36.5,O,S,2,FALSE,NA,12.37,17.99,4.5,4.8,2.8,4.1,20120127,778218.7845,9586850.878,1.313879604,10000,100
CAU,T01,109,breu manga,Tetragastris altissima,Burseraceae,53,O,E,1,FALSE,NA,21.02,27.67,4.9,6.4,8.2,5.6,20120127,778221.5357,9586851.093,2.97056216,10000,100
CAU,T01,110,sucupira,Diplotropis sp.,Fabaceae,41.2,O,E,1,FALSE,NA,25.88,35.53,4.5,5.9,3.9,4.4,20120127,778234.4007,9586854.709,1.712418101,10000,100
CAU,T01,113,seringarana,Micrandra minor,Euphorbiaceae,46.9,O,C,1,FALSE,NA,26.22,35.57,3.6,3.5,3.4,3.3,20120127,778240.4135,9586851.569,2.273493527,10000,100
CAU,T01,116,pintadinho,Poeppigia procera,Fabaceae,39.1,O,S,2,FALSE,NA,18.02,25.88,5.1,0,4.3,3.2,20120127,778255.6424,9586856.662,1.527272339,10000,100
CAU,T01,117,tanibuca,Terminalia amazonia,Combretaceae,35.4,O,S,2,FALSE,NA,12.66,18.18,5.4,1.2,5.3,0,20120127,778255.9053,9586852.77,1.228822225,10000,100
CAU,T01,119,tachi preto,Tachigali myrmecophila,Fabaceae,60,O,E,1,FALSE,NA,36.15,52.5,1.4,8.8,10.2,11.5,20120127,778264.1535,9586857.136,3.896483398,10000,100
CAU,T01,120,parajuba,Manilkara bidentata,Sapotaceae,52.8,O,C,2,FALSE,NA,16,24.43,3.9,3.8,4.2,4.3,20120127,778293.8573,9586856.336,2.946099703,10000,100
CAU,T01,123,timborana,Pseudopiptadenia suaveolens,Fabaceae,48.4,O,C,1,FALSE,NA,10.41,17.87,3.5,2.7,8.8,2.9,20120127,778337.4469,9586858.279,2.435553848,10000,100
CAU,T01,129,jutai,Hymenaea parvifolia,Fabaceae,59.6,O,E,1,FALSE,NA,21.08,32.62,3.7,3.1,3,3.1,20120127,778361.3243,9586861.896,3.839893197,10000,100
CAU,T01,136,parajuba,Manilkara bidentata,Sapotaceae,36.6,O,C,2,FALSE,NA,9.17,14.62,2.7,2.6,2.9,3.5,20120127,778396.775,9586865.293,1.321765472,10000,100
CAU,T01,138,morta,NA,NA,36.6,O,NA,NA,TRUE,4,NA,2.51,NA,NA,NA,NA,20120127,778403.7382,9586866.365,1.321765472,10000,100
CAU,T01,142,jatereu,Lecythis idatimon,Lecythidaceae,36.3,O,C,2,FALSE,NA,13.53,26.12,3,2.8,3.2,2.9,20120127,778424.2756,9586867.352,1.298184678,10000,100
CAU,T01,145,guajara branco,Pouteria sp.,Sapotaceae,53.2,O,E,1,FALSE,NA,20.28,30.71,3.2,4.1,4.1,3.4,20120127,778433.8613,9586866.796,2.995134451,10000,100
CAU,T01,150,morta,NA,NA,71.2,O,NA,NA,TRUE,1,NA,9.42,NA,NA,NA,NA,20120127,778459.7465,9586870.449,5.66554682,10000,100
CAU,T01,152,tauari,Couratari stellata,Lecythidaceae,40,O,C,1,FALSE,NA,23.32,29.83,1.2,2.5,3.1,2.3,20120127,778441.0903,9586878.811,1.605213191,10000,100
CAU,T01,153,tatapiririca,Tapirira guianensis,Anacardiaceae,35.4,O,S,2,FALSE,NA,23.63,30.6,2.5,0.9,1.2,3.4,20120127,778435.5875,9586878.439,1.228822225,10000,100
CAU,T01,154,matamata,Eschweilera amazonica,Lecythidaceae,38,O,C,1,FALSE,NA,17.19,28.91,1.9,2,3,3.1,20120127,778436.8815,9586859.283,1.434863657,10000,100
CAU,T01,156,copaiba,Copaifera reticulata,Fabaceae,50.6,O,E,1,FALSE,NA,27.61,38,8,5.3,5.6,5,20120127,778421.0569,9586862.925,2.684239344,10000,100
CAU,T01,157,timborana,Pseudopiptadenia suaveolens,Fabaceae,50,O,E,1,FALSE,NA,26.35,45.89,1.5,10,3.1,1.2,20120127,778412.3839,9586857.408,2.615113952,10000,100
CAU,T01,159,axixa,Sterculia pruriens,Malvaceae,55,O,E,1,FALSE,NA,26.06,34.79,5.1,5.2,4.4,3.7,20120127,778352.8535,9586853.386,3.221240314,10000,100
CAU,T01,160,matamata branco,Eschweilera coriacea,Lecythidaceae,56,O,C,1,FALSE,NA,19.9,32.65,3.2,3.4,3.1,3,20120127,778337.7164,9586854.288,3.350722073,10000,100
