"area","transect","tree","common_name","scientific_name","family_name","WSD_09","DBH_09","BA_09","AGB_09","area_sampled_09","BA_AS_09","AGB_AS_09","type_09","canopy_09","light_09","dead_09","class_09","X_09","Y_09","Hcom_09","Htot_09","RN_09","RS_09","RE_09","RW_09","WSD_11","DBH_11","BA_11","AGB_11","area_sampled_11","BA_AS_11","AGB_AS_11","type_11","canopy_11","light_11","dead_11","class_11","X_11","Y_11","Hcom_11","Htot_11","RN_11","RS_11","RE_11","RW_11","VOL","total.area","transect.area"
"DUC_A01","T01","1001","Urucurana","Sloanea guianensis","Elaeocarpaceae",0.82,27.1,0.057680427,0.607845115,0.271,0.212842902,2.242970903,"O","C",NA,"A",NA,0.5,4,8.66,19.83,5.05,4.94,5.1,6.1,0.82,27.4,0.058964553,"0.518597906",0.274,0.215199097,"1.892693086","O","S",3,"A",NA,0.5,4,8.03,16.55,5.4,5.2,5.6,5.2,0.701716003938788,50,1000
"DUC_A01","T01","1002","Envira Quiabo","Sterculia pruriens","Malvaceae",0.49,9.9,0.007697687,0.035102552,0.099,0.077754418,0.354571232,"O","S",NA,"A",NA,0.5,27,9.6,14.36,1.2,1.9,1.7,2.72,0.49,10.7,0.008992024,"0.042661097",0.107,0.084037603,"0.398701838","O","S",2,"A",NA,0.5,27,9.25,14.94,1.7,1.9,1.7,1.6,0.0897422733804556,50,1000
"DUC_A01","T01","1003","Abiu Cutite","Pouteria macrophilla","Sapotaceae",0.74,12,0.011309734,0.105928845,0.12,0.09424778,0.882740376,"O","C",NA,"A",NA,0.5,28,14.16,19.53,1.01,2.25,1.06,1.4,0.74,12.3,0.011882289,"0.111975312",0.123,0.096603974,"0.910368387","O","S",2,"A",NA,0.5,28,17.23,19.65,1.8,2.2,1.7,2.6,0.121721425104987,50,1000
"DUC_A01","T01","1004","Mandioqueira","Qualea paraensis","Vochysiaceae",0.69,42.7,0.143200862,1.642517452,0.427,0.335365016,3.846645086,"O","E",NA,"A",NA,2.8,29.5,17.27,25.65,10.16,7.3,5.3,8.56,0.69,43.5,0.148616967,"2.127975946",0.435,0.341648201,"4.891898727","O","D",1,"A",NA,2.8,29.5,19.87,32.02,10.5,6.7,3.4,5.6,1.92845462746896,50,1000
"DUC_A01","T01","1005","Angelim Rajado","Zygia racemosa","Fabaceae",0.75,14.8,0.017203361,0.135796476,0.148,0.116238928,0.91754376,"O","C",NA,"A",NA,0.7,32,11.77,16.24,8.82,1.98,4.8,2.04,0.75,15.2,0.018145839,"0.144735412",0.152,0.119380521,"0.95220666","O","S",2,"A",NA,0.7,32,12.69,16.41,7.1,2.3,2.8,1.2,0.193397729240215,50,1000
"DUC_A01","T01","1007","Breu","Protium hepytaphillum ","Burseraceae",0.63,14.4,0.016286016,0.128466661,0.144,0.113097336,0.892129594,"O","C",NA,"A",NA,0.5,38,13.21,19.32,1.9,3.6,2.5,2,0.63,15,0.017671459,"0.139828154",0.15,0.117809725,"0.93218769","O","S",2,"A",NA,0.5,38,15.82,19.38,2.4,2.3,2.6,1.2,0.187875476637145,50,1000
"DUC_A01","T01","1008","Liana",NA,NA,NA,13.7,0.014741138,0.014870135,0.137,0.107599548,0.108541133,"L","S",NA,"A",NA,0.5,38,10.13,13.61,NA,NA,NA,NA,NA,11.4,0.010207035,"0.013542772",0.114,0.089535391,"0.118796244","L",NA,NA,"A",NA,0.5,38,0,0,NA,NA,NA,NA,0.103083727332757,50,1000
"DUC_A01","T01","1009","Ucuuba Vermelha","Virola elongata","Myristicaceae",0.52,11.5,0.010386891,0.031783568,0.115,0.090320789,0.276378856,"O","S",NA,"A",NA,1,40.5,5.65,9.08,7.2,-1.16,2.4,2.07,0.52,11.6,0.010568318,"0.036755032",0.116,0.091106187,"0.316853722","O","S",3,"A",NA,1,40.5,5.91,10.32,5.8,-1,2.2,2,0.107080415991937,50,1000
"DUC_A01","T01","1010","Breu","Protium hepytaphillum ","Burseraceae",0.63,12.1,0.011499015,0.093006553,0.121,0.095033178,0.768649197,"O","C",NA,"A",NA,1.2,54,5.99,19.81,2.76,2.6,2,3,0.63,12,0.011309734,"0.083071488",0.12,0.09424778,"0.692262396","O","S",2,"A",NA,1.2,54,12.71,17.99,3,2,1.6,2.8,0.115322008466477,50,1000
"DUC_A01","T01","1011","Louro","Ocotea sp,","Lauraceae",0.5,17.8,0.024884555,0.194170958,0.178,0.139800873,1.09084808,"O","C",1,"A",NA,1,58,10.71,24.08,4.43,-0.2,7.07,1.4,0.5,17.9,0.025164943,"0.125089025",0.179,0.140586271,"0.69882137","O","S",2,"A",NA,1,58,11.22,15.34,3.7,0.7,3.3,1.2,0.27654163487291,50,1000
"DUC_A01","T01","1013","Macucu","Licania heteromorpha","Chrysobalanaceae",0.82,25.3,0.050272551,0.658016962,0.253,0.198705735,2.600857558,"O","E",1,"A",NA,1.2,66,16.37,24.63,4.6,4.6,6.64,2.2,0.82,25.9,0.052685294,"0.716475672",0.259,0.203418124,"2.766315338","O","D",2,"A",NA,1.2,66,17.45,25.59,3.7,4.2,4,2.3,0.620416763270099,50,1000
